1	1	0	2015-02-01 20:00:00	2015-02-01 20:01:00
2	1	1	2015-02-01 20:01:00	2015-02-01 20:02:02
3	3	0	2015-02-01 21:00:00	2015-02-01 21:00:01
4	3	2	2015-02-01 21:00:01	2015-02-01 21:12:01
5	3	10	2015-02-01 21:12:01	2015-02-01 21:25:01
6	3	4	2015-02-01 21:25:01	2015-02-01 21:25:02
7	2	0	2015-02-01 22:00:00	2015-02-01 22:01:00
8	2	2	2015-02-01 22:01:00	2015-02-01 22:02:02
9	2	10	2015-02-01 22:02:02	2015-02-01 22:03:02
10	2	11	2015-02-01 22:03:02	2015-02-01 22:11:08
11	2	12	2015-02-01 22:11:08	2015-02-01 22:23:07
12	2	13	2015-02-01 22:23:07	2015-02-01 22:53:08
13	2	14	2015-02-01 22:53:08	2015-02-01 23:21:07
14	4	0	2015-02-01 23:00:00	2015-02-01 23:02:00
15	4	2	2015-02-01 23:02:00	2015-02-01 23:02:01
16	4	10	2015-02-01 23:02:01	2015-02-01 23:03:01
17	4	11	2015-02-01 23:03:01	2015-02-01 23:11:07
18	4	12	2015-02-01 23:11:07	2015-02-01 23:23:07
19	2	15	2015-02-01 23:21:07	2015-02-01 23:39:07
20	4	13	2015-02-01 23:23:07	2015-02-01 23:53:07
21	2	3	2015-02-01 23:39:07	2015-02-01 23:39:09
22	4	14	2015-02-01 23:53:07	2015-02-02 00:21:07
23	4	15	2015-02-02 00:21:07	2015-02-02 00:39:06
24	4	3	2015-02-02 00:39:06	2015-02-02 00:39:08
25	3	0	2015-02-02 21:00:00	2015-02-02 21:03:00
26	3	2	2015-02-02 21:00:00	2015-02-02 21:00:01
27	3	12	2015-02-02 21:00:01	2015-02-02 21:13:01
28	3	2	2015-02-02 21:03:00	2015-02-02 21:03:02
29	3	10	2015-02-02 21:03:02	2015-02-02 21:04:02
30	3	11	2015-02-02 21:04:02	2015-02-02 21:16:02
31	3	4	2015-02-02 21:13:01	2015-02-02 21:13:02
32	3	4	2015-02-02 21:16:02	2015-02-02 21:16:04
33	2	2	2015-02-02 22:00:00	2015-02-02 22:00:02
34	2	15	2015-02-02 22:00:02	2015-02-02 22:32:02
35	2	20	2015-02-02 22:32:02	2015-02-02 22:36:02
36	2	21	2015-02-02 22:36:02	2015-02-02 22:48:02
37	2	22	2015-02-02 22:48:02	2015-02-02 23:18:02
38	2	23	2015-02-02 23:18:02	2015-02-02 23:46:02
39	2	24	2015-02-02 23:46:02	2015-02-03 00:34:02
40	2	3	2015-02-03 00:34:02	2015-02-03 00:34:03
41	3	2	2015-02-03 21:00:00	2015-02-03 21:00:02
42	3	12	2015-02-03 21:00:02	2015-02-03 21:13:02
43	3	13	2015-02-03 21:13:02	2015-02-03 21:25:02
44	3	4	2015-02-03 21:25:02	2015-02-03 21:25:03
45	2	2	2015-02-09 21:00:00	2015-02-09 21:00:02
46	2	2	2015-02-09 21:00:00	2015-02-09 21:00:02
47	4	2	2015-02-09 21:00:00	2015-02-09 21:00:02
48	2	24	2015-02-09 21:00:02	2015-02-09 21:18:02
49	2	32	2015-02-09 21:00:02	2015-02-09 21:18:02
50	4	24	2015-02-09 21:00:02	2015-02-09 21:18:02
51	2	25	2015-02-09 21:18:02	2015-02-09 21:41:02
52	2	33	2015-02-09 21:18:02	2015-02-09 21:41:02
53	4	25	2015-02-09 21:18:02	2015-02-09 21:41:02
54	2	26	2015-02-09 21:41:02	2015-02-09 21:55:02
55	2	34	2015-02-09 21:41:02	2015-02-09 21:55:02
56	4	26	2015-02-09 21:41:02	2015-02-09 21:55:02
57	2	30	2015-02-09 21:55:02	2015-02-09 22:03:02
58	2	35	2015-02-09 21:55:02	2015-02-09 22:03:02
59	4	30	2015-02-09 21:55:02	2015-02-09 22:03:02
60	2	31	2015-02-09 22:03:02	2015-02-09 22:15:02
61	2	36	2015-02-09 22:03:02	2015-02-09 22:47:02
62	4	31	2015-02-09 22:03:02	2015-02-09 22:15:02
63	2	32	2015-02-09 22:15:02	2015-02-09 22:39:02
64	4	32	2015-02-09 22:15:02	2015-02-09 22:39:02
65	2	3	2015-02-09 22:39:02	2015-02-09 22:39:03
66	4	3	2015-02-09 22:39:02	2015-02-09 22:39:03
67	2	3	2015-02-09 22:47:02	2015-02-09 22:47:03
68	2	2	2015-02-10 18:00:00	2015-02-10 18:00:02
69	2	36	2015-02-10 18:00:02	2015-02-10 18:44:02
70	2	3	2015-02-10 18:44:02	2015-02-10 18:44:03
71	2	2	2015-02-11 18:00:00	2015-02-11 18:00:02
72	5	0	2015-02-11 18:00:00	2015-02-11 18:01:00
73	6	0	2015-02-11 18:00:00	2015-02-11 18:01:00
74	2	36	2015-02-11 18:00:02	2015-02-11 18:44:02
75	5	1	2015-02-11 18:01:00	2015-02-11 18:01:02
76	6	2	2015-02-11 18:01:00	2015-02-11 18:01:02
77	6	10	2015-02-11 18:01:02	2015-02-11 18:02:02
78	6	11	2015-02-11 18:02:02	2015-02-11 18:10:08
79	6	12	2015-02-11 18:10:08	2015-02-11 18:22:07
80	6	13	2015-02-11 18:22:07	2015-02-11 18:52:08
81	2	3	2015-02-11 18:44:02	2015-02-11 18:44:03
82	6	14	2015-02-11 18:52:08	2015-02-11 19:20:07
83	4	2	2015-02-11 19:00:00	2015-02-11 19:00:02
84	4	32	2015-02-11 19:00:02	2015-02-11 19:24:02
85	6	15	2015-02-11 19:20:07	2015-02-11 19:38:07
86	4	33	2015-02-11 19:24:02	2015-02-11 20:24:02
87	6	3	2015-02-11 19:38:07	2015-02-11 19:38:09
88	8	0	2015-02-11 20:00:00	2015-02-11 20:02:00
89	7	2	2015-02-11 20:00:00	2015-02-11 20:00:01
90	7	11	2015-02-11 20:00:01	2015-02-11 20:12:01
91	8	2	2015-02-11 20:02:00	2015-02-11 20:02:01
92	8	10	2015-02-11 20:02:01	2015-02-11 20:03:01
93	8	11	2015-02-11 20:03:01	2015-02-11 20:11:07
94	8	12	2015-02-11 20:11:07	2015-02-11 20:23:07
95	7	12	2015-02-11 20:12:01	2015-02-11 20:25:01
96	8	13	2015-02-11 20:23:07	2015-02-11 20:53:07
97	4	3	2015-02-11 20:24:02	2015-02-11 20:24:03
98	7	4	2015-02-11 20:25:01	2015-02-11 20:25:02
99	8	14	2015-02-11 20:53:07	2015-02-11 21:21:07
100	8	15	2015-02-11 21:21:07	2015-02-11 21:39:06
101	8	3	2015-02-11 21:39:06	2015-02-11 21:39:08
102	4	2	2015-02-12 19:00:00	2015-02-12 19:00:02
103	4	33	2015-02-12 19:00:02	2015-02-12 20:00:02
104	7	0	2015-02-12 20:00:00	2015-02-12 20:03:00
105	6	2	2015-02-12 20:00:00	2015-02-12 20:00:02
106	7	2	2015-02-12 20:00:00	2015-02-12 20:00:01
107	7	12	2015-02-12 20:00:01	2015-02-12 20:13:01
108	4	3	2015-02-12 20:00:02	2015-02-12 20:00:03
109	6	15	2015-02-12 20:00:02	2015-02-12 20:32:02
110	7	2	2015-02-12 20:03:00	2015-02-12 20:03:00
111	7	10	2015-02-12 20:03:00	2015-02-12 20:04:00
112	7	11	2015-02-12 20:04:00	2015-02-12 20:16:00
113	7	4	2015-02-12 20:13:01	2015-02-12 20:13:02
114	7	4	2015-02-12 20:16:00	2015-02-12 20:16:02
115	6	20	2015-02-12 20:32:02	2015-02-12 20:36:02
116	6	21	2015-02-12 20:36:02	2015-02-12 20:48:02
117	6	22	2015-02-12 20:48:02	2015-02-12 21:18:02
